distance,rdistance,HU
83.2143,74.184,4731.167
83.3123,74.282,4741.514
83.4093,74.379,4780.767
83.5063,74.476,4893.161
83.6033,74.573,4958.694
83.7003,74.67,4831.031
83.7973,74.767,4709.815
83.8943,74.864,4598.958
83.9913,74.961,4652.161
84.0883,75.058,4757.938
84.1853,75.155,4886.63
84.2833,75.253,4959.842
84.3803,75.35,5018.077
84.4773,75.447,4978.149
84.5743,75.544,4864.399
84.6713,75.641,5099.491
84.7683,75.738,5287.43
84.8653,75.835,5189.495
84.9623,75.932,5220.208
85.0593,76.029,5285.501
85.1563,76.126,5341.637
85.2543,76.224,5424.554
85.3513,76.321,5449.548
85.4483,76.418,5534.935
85.5453,76.515,5508.988
85.6423,76.612,5426.883
85.7393,76.709,5289.541
85.8363,76.806,5201.286
85.9333,76.903,5121.187
86.0303,77,5077.266
86.1273,77.097,5094.392
86.2253,77.195,5050.942
86.3223,77.292,4961.991
86.4193,77.389,4930.417
86.5163,77.486,4816.107
86.6133,77.583,4680.653
86.7103,77.68,4641.87
86.8073,77.777,4656.404
86.9043,77.874,4647.25
87.0013,77.971,4589.836
87.0983,78.068,4463.406
87.1953,78.165,4495.619
87.2933,78.263,4519.864
87.3903,78.36,4455.613
87.4873,78.457,4373.462
87.5843,78.554,4230.422
87.6813,78.651,4334.602
87.7783,78.748,4465.218
87.8753,78.845,4420.265
87.9723,78.942,4356.562
88.0693,79.039,4423.03
88.1663,79.136,4366.722
88.2643,79.234,4308.815
88.3613,79.331,4508.793
88.4583,79.428,4684.472
88.5553,79.525,4566.495
88.6523,79.622,4471.769
88.7493,79.719,4415.076
88.8463,79.816,4341.021
88.9433,79.913,4185.681
89.0403,80.01,4412.542
89.1373,80.107,4651.192
89.2353,80.205,4603.689
89.3323,80.302,4561.301
89.4293,80.399,4517.829
89.5263,80.496,4374.161
89.6233,80.593,4266.432
89.7203,80.69,4346.125
89.8173,80.787,4400.669
89.9143,80.884,4547.7
90.0113,80.981,4585.315
90.1083,81.078,4557.832
90.2063,81.176,4459.402
90.3033,81.273,4358.409
90.4003,81.37,4412.89
90.4973,81.467,4447.563
90.5943,81.564,4411.392
90.6913,81.661,4524.492
90.7883,81.758,4647.493
90.8853,81.855,4735.393
90.9823,81.952,4794.247
91.0793,82.049,4840.356
91.1773,82.147,4788.122
91.2743,82.244,4709.491
91.3713,82.341,4642.167
91.4683,82.438,4614.577
91.5653,82.535,4670.21
91.6623,82.632,4662.183
91.7593,82.729,4692.257
91.8563,82.826,4740.677
91.9533,82.923,4765.458
92.0513,83.021,4771.365
92.1483,83.118,4764.936
92.2453,83.215,4755.66
92.3423,83.312,4833.003
92.4393,83.409,4952.962
92.5363,83.506,5043.691
92.6333,83.603,4916.042
92.7303,83.7,4817.987
92.8273,83.797,4792.62
92.9243,83.894,4831.227
93.0223,83.992,4893.09
93.1193,84.089,4800.314
93.2163,84.186,4801.279
93.3133,84.283,5011.026
93.4103,84.38,5061.957
93.5073,84.477,4945.899
93.6043,84.574,4767.447
93.7013,84.671,4588.601
93.7983,84.768,4625.198
93.8953,84.865,4728.391
93.9933,84.963,4894.419
94.0903,85.06,4986.331
94.1873,85.157,4905.748
94.2843,85.254,4810.849
94.3813,85.351,4753.375
94.4783,85.448,4747.417
94.5753,85.545,4718.712
94.6723,85.642,4723.567
94.7693,85.739,4640.656
94.8663,85.836,4501.363
94.9643,85.934,4383.702
95.0613,86.031,4288.468
95.1583,86.128,4568.557
95.2553,86.225,4630.598
95.3523,86.322,4487.775
95.4493,86.419,4305.04
95.5463,86.516,4263.25
95.6433,86.613,4353.246
95.7403,86.71,4470.395
95.8373,86.807,4577.981
95.9353,86.905,4761.79
96.0323,87.002,4930.657
96.1293,87.099,5139.763
96.2263,87.196,5302.136
96.3233,87.293,4878.167
